,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
124,869,109,2175,6,127,4466,8,18872,582,Other
125,868,14,8442,0,14,686,9,4004,291,uncategorized
126,866,35,6100,5,130,5292,7,16481,555,Trap
127,852,109,1873,7,978,1013,12,6,2,Ambient
128,851,308,2292,24,82,5348,6,200,23,Bass Music
129,846,25,981,0,99,475,12,12296,498,Chiptune
130,844,36,1237,4,39,1393,6,13480,447,uncategorized
131,842,414,10363,14,3074,1034,5,2725,122,Trap
132,837,14,144,0,52,975,9,38175,1302,uncategorized
133,828,30,275,0,26,342,12,15059,493,uncategorized
134,825,99,10206,2,569,1866,9,2272,183,uncategorized
135,822,33,1858,0,90,1375,10,1146,97,Other
136,818,119,2031,5,835,205,9,335,38,uncategorized
137,817,81,4911,4,352,1045,11,3963,127,Techno
138,816,56,2338,7,142,2398,10,136,22,Bass Music
139,813,69,2190,1,214,2734,12,4806,151,uncategorized
140,813,75,1219,1,145,3768,7,2885,195,uncategorized
141,803,202,4022,2,609,2540,10,3756,205,uncategorized
142,797,25,2191,2,194,989,9,1518,128,EDM
143,795,64,350,2,113,5482,7,13355,374,Bass Music
144,792,184,1439,31,1685,2407,7,594,57,uncategorized
145,791,6,3698,0,11,2965,8,443,54,Newbie
146,788,4,202,0,4948,194,6,711,38,uncategorized
147,778,456,1705,5,649,4099,7,7696,283,Future Bass
148,776,73,5108,0,1592,3282,3,742,97,Lo-Fi
149,772,41,8847,21,1356,2405,7,2735,140,Trap
150,768,150,229,0,16,251,7,770,81,uncategorized
151,768,217,7355,14,618,1957,11,6149,115,uncategorized
152,766,21,6268,6,70,4643,8,1531,104,Experimental
153,766,14,494,9,9,1359,10,7573,325,uncategorized
154,762,49,3549,3,106,1424,6,2603,130,Trap
155,760,149,1796,2,102,1322,5,6223,256,Trap
156,756,598,2439,5,133,848,8,7,0,Pop
157,755,447,1672,4,98,2714,5,109,16,Trap
158,748,160,2454,6,199,7661,6,1916,121,Future Bass
159,746,43,743,0,76,312,12,51488,617,uncategorized
160,741,22,511,1,331,344,3,949,60,Hip Hop
161,740,56,2302,4,82,2683,6,1872,177,Techno
162,726,31,1204,18,153,4647,2,2734,200,Pop
163,725,158,1716,0,745,429,12,5223,94,uncategorized
164,722,122,2929,5,215,1327,10,4715,256,uncategorized
165,719,502,3860,4,535,1033,12,1540,90,uncategorized
166,717,84,1536,2,145,6149,9,12585,437,uncategorized
167,711,23,2511,3,666,395,6,3540,137,House
168,710,201,12058,12,902,1522,7,1330,79,uncategorized
169,706,14,2114,0,910,351,12,2024,161,uncategorized
170,704,10,1441,0,1,831,6,946,57,Electro
171,704,2,3637,1,120,1126,6,137,24,Future Bass
172,702,169,1712,5,205,2734,10,154,20,Trap
173,701,133,1143,5,222,1633,8,10732,451,Future Bass
174,700,584,2619,14,124,3936,8,955,76,Techno
175,698,26,997,1,1734,372,8,586,52,uncategorized
176,694,70,2347,6,233,2827,12,6605,158,uncategorized
177,686,416,803,14,157,1540,9,976,81,uncategorized
178,684,299,4949,7,180,4883,4,731,66,Bass Music
179,679,16,4544,5,620,38,9,1775,81,uncategorized
180,678,137,1725,1,49,1577,5,6411,277,Trap
181,676,10,3215,3,72,6695,5,119,16,Newbie
182,673,169,8122,9,892,5134,5,2213,139,Synthwave
183,673,208,1716,11,300,583,11,1046,88,uncategorized
184,673,145,4301,4,194,737,8,3402,189,uncategorized
185,672,81,2440,3,458,3088,8,1956,114,uncategorized
186,672,9,1580,1,25,2295,10,1728,122,uncategorized
